"timestamp_utc","container","cpu_pct","memory_used_mib","memory_usage","net_io","block_io","pids"
"2026-09-06T22:00:56.2947344Z","mqtt-edge-0","0,02","2,648","2.648MiB / 15.18GiB","2.97kB / 852B","0B / 0B","1"
"2026-09-06T22:00:56.2947344Z","mqtt-edge-1","0,02","2,648","2.648MiB / 15.18GiB","2.97kB / 852B","0B / 0B","1"
"2026-09-06T22:00:56.2947344Z","mqtt-edge-10","0,02","2,656","2.656MiB / 15.18GiB","2.97kB / 852B","0B / 0B","1"
"2026-09-06T22:00:56.2947344Z","mqtt-edge-11","0,03","2,656","2.656MiB / 15.18GiB","2.97kB / 852B","0B / 0B","1"
"2026-09-06T22:00:56.2947344Z","mqtt-edge-12","0,02","2,645","2.645MiB / 15.18GiB","2.97kB / 852B","0B / 0B","1"
"2026-09-06T22:00:56.2947344Z","mqtt-edge-2","0,02","2,648","2.648MiB / 15.18GiB","2.97kB / 852B","0B / 0B","1"
"2026-09-06T22:00:56.2947344Z","mqtt-edge-3","0,02","2,648","2.648MiB / 15.18GiB","2.97kB / 852B","0B / 0B","1"
"2026-09-06T22:00:56.2947344Z","mqtt-edge-4","0,02","2,645","2.645MiB / 15.18GiB","2.97kB / 852B","0B / 0B","1"
"2026-09-06T22:00:56.2947344Z","mqtt-edge-5","0,02","2,648","2.648MiB / 15.18GiB","2.97kB / 852B","0B / 0B","1"
"2026-09-06T22:00:56.2947344Z","mqtt-edge-6","0,02","2,633","2.633MiB / 15.18GiB","2.93kB / 810B","0B / 0B","1"
"2026-09-06T22:00:56.2947344Z","mqtt-edge-7","0,02","2,648","2.648MiB / 15.18GiB","3.11kB / 852B","0B / 0B","1"
"2026-09-06T22:00:56.2947344Z","mqtt-edge-8","0,02","2,641","2.641MiB / 15.18GiB","2.97kB / 852B","0B / 0B","1"
"2026-09-06T22:00:56.2947344Z","mqtt-edge-9","0,02","2,641","2.641MiB / 15.18GiB","2.97kB / 852B","0B / 0B","1"
"2026-09-06T22:00:56.2947344Z","simulator-edge-0","0","2,742","2.742MiB / 15.18GiB","1.21kB / 512B","0B / 0B","5"
"2026-09-06T22:00:56.2947344Z","simulator-edge-1","0","4,781","4.781MiB / 15.18GiB","1.21kB / 512B","0B / 0B","6"
"2026-09-06T22:00:56.2947344Z","simulator-edge-10","0","4,762","4.762MiB / 15.18GiB","1.21kB / 513B","0B / 0B","5"
"2026-09-06T22:00:56.2947344Z","simulator-edge-11","0","4,77","4.77MiB / 15.18GiB","1.21kB / 513B","0B / 0B","5"
"2026-09-06T22:00:56.2947344Z","simulator-edge-12","0","4,805","4.805MiB / 15.18GiB","1.21kB / 513B","0B / 0B","6"
"2026-09-06T22:00:56.2947344Z","simulator-edge-2","0","4,766","4.766MiB / 15.18GiB","1.21kB / 512B","0B / 0B","5"
"2026-09-06T22:00:56.2947344Z","simulator-edge-3","0","4,797","4.797MiB / 15.18GiB","1.21kB / 512B","0B / 0B","6"
"2026-09-06T22:00:56.2947344Z","simulator-edge-4","0","4,797","4.797MiB / 15.18GiB","1.21kB / 512B","0B / 0B","6"
"2026-09-06T22:00:56.2947344Z","simulator-edge-5","0","4,762","4.762MiB / 15.18GiB","1.21kB / 512B","0B / 0B","5"
"2026-09-06T22:00:56.2947344Z","simulator-edge-6","0","4,75","4.75MiB / 15.18GiB","1.21kB / 512B","0B / 0B","5"
"2026-09-06T22:00:56.2947344Z","simulator-edge-7","0","4,758","4.758MiB / 15.18GiB","1.28kB / 512B","0B / 0B","5"
"2026-09-06T22:00:56.2947344Z","simulator-edge-8","0","4,793","4.793MiB / 15.18GiB","1.21kB / 512B","0B / 0B","6"
"2026-09-06T22:00:56.2947344Z","simulator-edge-9","0","2,852","2.852MiB / 15.18GiB","1.21kB / 512B","0B / 0B","5"
"2026-09-06T22:01:01.8883815Z","cloud-worker-0","0,06","6,961","6.961MiB / 15.18GiB","17.9kB / 15.6kB","0B / 0B","9"
"2026-09-06T22:01:01.8883815Z","cloud-worker-1","0,08","6,977","6.977MiB / 15.18GiB","18.6kB / 16.3kB","0B / 0B","9"
"2026-09-06T22:01:01.8883815Z","cloud-worker-2","0,07","4,926","4.926MiB / 15.18GiB","18.5kB / 16.3kB","0B / 0B","8"
"2026-09-06T22:01:01.8883815Z","cloud-worker-3","0,06","7,039","7.039MiB / 15.18GiB","26.5kB / 24.4kB","0B / 0B","11"
"2026-09-06T22:01:01.8883815Z","cloud-worker-4","0,08","9,121","9.121MiB / 15.18GiB","54.7kB / 49.9kB","0B / 0B","13"
"2026-09-06T22:01:01.8883815Z","cloud-worker-5","0,06","7,008","7.008MiB / 15.18GiB","25.8kB / 24.4kB","0B / 0B","10"
"2026-09-06T22:01:01.8883815Z","edge-0","0","4,984","4.984MiB / 15.18GiB","4.19kB / 886B","0B / 0B","8"
"2026-09-06T22:01:01.8883815Z","edge-1","2,24","7,055","7.055MiB / 15.18GiB","5.07kB / 886B","0B / 0B","9"
"2026-09-06T22:01:01.8883815Z","edge-10","0","5,008","5.008MiB / 15.18GiB","5.24kB / 888B","0B / 0B","8"
"2026-09-06T22:01:01.8883815Z","edge-11","0","4,996","4.996MiB / 15.18GiB","4.11kB / 888B","0B / 0B","8"
"2026-09-06T22:01:01.8883815Z","edge-12","0","5,016","5.016MiB / 15.18GiB","4.23kB / 888B","0B / 0B","9"
"2026-09-06T22:01:01.8883815Z","edge-2","2,01","5,035","5.035MiB / 15.18GiB","4.86kB / 886B","0B / 0B","9"
"2026-09-06T22:01:01.8883815Z","edge-3","0","4,977","4.977MiB / 15.18GiB","3.73kB / 886B","0B / 0B","8"
"2026-09-06T22:01:01.8883815Z","edge-4","0","5,039","5.039MiB / 15.18GiB","3.56kB / 886B","0B / 0B","9"
"2026-09-06T22:01:01.8883815Z","edge-5","2,19","7,422","7.422MiB / 15.18GiB","4.49kB / 886B","0B / 0B","11"
"2026-09-06T22:01:01.8883815Z","edge-6","2,06","5,07","5.07MiB / 15.18GiB","4.65kB / 844B","0B / 0B","10"
"2026-09-06T22:01:01.8883815Z","edge-7","0","7,012","7.012MiB / 15.18GiB","4.32kB / 886B","0B / 0B","9"
"2026-09-06T22:01:01.8883815Z","edge-8","0","4,984","4.984MiB / 15.18GiB","3.98kB / 886B","0B / 0B","8"
"2026-09-06T22:01:01.8883815Z","edge-9","0","7,051","7.051MiB / 15.18GiB","5.2kB / 886B","0B / 0B","10"
"2026-09-06T22:01:01.8883815Z","global-aggregator","0,12","6,992","6.992MiB / 15.18GiB","21kB / 20.5kB","0B / 0B","9"
"2026-09-06T22:01:01.8883815Z","kafka","2,76","331,5","331.5MiB / 15.18GiB","176kB / 173kB","0B / 0B","120"
"2026-09-06T22:01:01.8883815Z","mqtt-edge-0","0,02","2,645","2.645MiB / 15.18GiB","2.97kB / 852B","0B / 0B","1"
"2026-09-06T22:01:01.8883815Z","mqtt-edge-1","0,01","2,645","2.645MiB / 15.18GiB","2.97kB / 852B","0B / 0B","1"
"2026-09-06T22:01:01.8883815Z","mqtt-edge-10","0,02","2,652","2.652MiB / 15.18GiB","2.97kB / 852B","0B / 0B","1"
"2026-09-06T22:01:01.8883815Z","mqtt-edge-11","0,02","2,66","2.66MiB / 15.18GiB","2.97kB / 852B","0B / 0B","1"
"2026-09-06T22:01:01.8883815Z","mqtt-edge-12","0,02","2,66","2.66MiB / 15.18GiB","2.97kB / 852B","0B / 0B","1"
"2026-09-06T22:01:01.8883815Z","mqtt-edge-2","0,02","2,648","2.648MiB / 15.18GiB","2.97kB / 852B","0B / 0B","1"
"2026-09-06T22:01:01.8883815Z","mqtt-edge-3","0,02","2,648","2.648MiB / 15.18GiB","2.97kB / 852B","0B / 0B","1"
"2026-09-06T22:01:01.8883815Z","mqtt-edge-4","0,02","2,645","2.645MiB / 15.18GiB","2.97kB / 852B","0B / 0B","1"
"2026-09-06T22:01:01.8883815Z","mqtt-edge-5","0,02","2,652","2.652MiB / 15.18GiB","2.97kB / 852B","0B / 0B","1"
"2026-09-06T22:01:01.8883815Z","mqtt-edge-6","0,02","2,637","2.637MiB / 15.18GiB","2.93kB / 810B","0B / 0B","1"
"2026-09-06T22:01:01.8883815Z","mqtt-edge-7","0,02","2,652","2.652MiB / 15.18GiB","3.11kB / 852B","0B / 0B","1"
"2026-09-06T22:01:01.8883815Z","mqtt-edge-8","0,02","2,637","2.637MiB / 15.18GiB","2.97kB / 852B","0B / 0B","1"
"2026-09-06T22:01:01.8883815Z","mqtt-edge-9","0,02","2,645","2.645MiB / 15.18GiB","2.97kB / 852B","0B / 0B","1"
"2026-09-06T22:01:01.8883815Z","simulator-edge-0","0","2,742","2.742MiB / 15.18GiB","1.21kB / 512B","0B / 0B","5"
"2026-09-06T22:01:01.8883815Z","simulator-edge-1","0","4,781","4.781MiB / 15.18GiB","1.21kB / 512B","0B / 0B","6"
"2026-09-06T22:01:01.8883815Z","simulator-edge-10","0","4,762","4.762MiB / 15.18GiB","1.21kB / 513B","0B / 0B","5"
"2026-09-06T22:01:01.8883815Z","simulator-edge-11","0","4,77","4.77MiB / 15.18GiB","1.21kB / 513B","0B / 0B","5"
"2026-09-06T22:01:01.8883815Z","simulator-edge-12","0","4,805","4.805MiB / 15.18GiB","1.21kB / 513B","0B / 0B","6"
"2026-09-06T22:01:01.8883815Z","simulator-edge-2","0","4,766","4.766MiB / 15.18GiB","1.21kB / 512B","0B / 0B","5"
"2026-09-06T22:01:01.8883815Z","simulator-edge-3","0","4,797","4.797MiB / 15.18GiB","1.21kB / 512B","0B / 0B","6"
"2026-09-06T22:01:01.8883815Z","simulator-edge-4","0","4,797","4.797MiB / 15.18GiB","1.21kB / 512B","0B / 0B","6"
"2026-09-06T22:01:01.8883815Z","simulator-edge-5","0","4,762","4.762MiB / 15.18GiB","1.21kB / 512B","0B / 0B","5"
"2026-09-06T22:01:01.8883815Z","simulator-edge-6","0","4,75","4.75MiB / 15.18GiB","1.21kB / 512B","0B / 0B","5"
"2026-09-06T22:01:01.8883815Z","simulator-edge-7","0","4,758","4.758MiB / 15.18GiB","1.28kB / 512B","0B / 0B","5"
"2026-09-06T22:01:01.8883815Z","simulator-edge-8","0","4,793","4.793MiB / 15.18GiB","1.21kB / 512B","0B / 0B","6"
"2026-09-06T22:01:01.8883815Z","simulator-edge-9","0","2,852","2.852MiB / 15.18GiB","1.21kB / 512B","0B / 0B","5"
"2026-09-06T22:01:07.4345054Z","cloud-worker-0","0,09","6,961","6.961MiB / 15.18GiB","21.2kB / 19.5kB","0B / 0B","9"
"2026-09-06T22:01:07.4345054Z","cloud-worker-1","0,08","6,977","6.977MiB / 15.18GiB","21.9kB / 20.3kB","0B / 0B","9"
"2026-09-06T22:01:07.4345054Z","cloud-worker-2","0,06","4,926","4.926MiB / 15.18GiB","21.8kB / 20.3kB","0B / 0B","8"
"2026-09-06T22:01:07.4345054Z","cloud-worker-3","0,06","7,039","7.039MiB / 15.18GiB","29.8kB / 28.3kB","0B / 0B","11"
"2026-09-06T22:01:07.4345054Z","cloud-worker-4","0,09","9,121","9.121MiB / 15.18GiB","58kB / 53.8kB","0B / 0B","13"
"2026-09-06T22:01:07.4345054Z","cloud-worker-5","0,07","7,008","7.008MiB / 15.18GiB","29.1kB / 28.3kB","0B / 0B","10"
"2026-09-06T22:01:07.4345054Z","edge-0","0","4,984","4.984MiB / 15.18GiB","4.19kB / 886B","0B / 0B","8"
"2026-09-06T22:01:07.4345054Z","edge-1","1,94","7,055","7.055MiB / 15.18GiB","5.07kB / 886B","0B / 0B","9"
"2026-09-06T22:01:07.4345054Z","edge-10","0","4,996","4.996MiB / 15.18GiB","5.24kB / 888B","0B / 0B","8"
"2026-09-06T22:01:07.4345054Z","edge-11","0","5,012","5.012MiB / 15.18GiB","4.11kB / 888B","0B / 0B","8"
"2026-09-06T22:01:07.4345054Z","edge-12","0","5,008","5.008MiB / 15.18GiB","4.23kB / 888B","0B / 0B","9"
"2026-09-06T22:01:07.4345054Z","edge-2","2,1","5,023","5.023MiB / 15.18GiB","4.86kB / 886B","0B / 0B","9"
"2026-09-06T22:01:07.4345054Z","edge-3","2,39","4,973","4.973MiB / 15.18GiB","3.73kB / 886B","0B / 0B","8"
"2026-09-06T22:01:07.4345054Z","edge-4","2,32","5,031","5.031MiB / 15.18GiB","3.56kB / 886B","0B / 0B","9"
"2026-09-06T22:01:07.4345054Z","edge-5","0","7,066","7.066MiB / 15.18GiB","4.49kB / 886B","0B / 0B","11"
"2026-09-06T22:01:07.4345054Z","edge-6","2,16","5,613","5.613MiB / 15.18GiB","4.65kB / 844B","0B / 0B","10"
"2026-09-06T22:01:07.4345054Z","edge-7","0","7,02","7.02MiB / 15.18GiB","4.32kB / 886B","0B / 0B","9"
"2026-09-06T22:01:07.4345054Z","edge-8","0","4,984","4.984MiB / 15.18GiB","3.98kB / 886B","0B / 0B","8"
"2026-09-06T22:01:07.4345054Z","edge-9","2,4","7,043","7.043MiB / 15.18GiB","5.2kB / 886B","0B / 0B","10"
"2026-09-06T22:01:07.4345054Z","global-aggregator","0,1","6,992","6.992MiB / 15.18GiB","24.5kB / 24.6kB","0B / 0B","9"
