sensor_id,macroarea_id,edge_cluster,edge_id,lat,lon,x_km,y_km,rows,rows_per_day,distance_to_edge_km
44457,none,3,edge-3,49.316,8.557999999999998,4216.139685012708,2912.4746981171766,16307,526.0322580645161,102.32066207655882
44471,none,4,edge-4,41.78624186,12.43866116,4524.447801490309,2079.2270593540516,9506,306.64516129032256,394.93889125607706
4449,none,2,edge-2,51.87,6.16,4056.654897253145,3202.497524209865,16013,516.5483870967741,34.45535695260944
44585,none,7,edge-7,52.24630794,20.8653599,5059.930577348827,3292.689287545096,16445,530.483870967742,142.34455274272153
44683,none,7,edge-7,53.1869499,18.0863209,4860.291186336737,3372.1619754187814,16517,532.8064516129032,195.51000367445667
4469,none,9,edge-9,42.666,23.292,5407.683497322129,2269.654812637054,5112,164.90322580645162,59.944009417802754
44697,none,8,edge-8,47.48,19.354,5024.369865146894,2751.9041890166413,16440,530.3225806451613,45.24435200004129
44734,none,1,edge-1,52.44599999999999,-1.93,3514.028315448276,3326.0021461341066,40571,1308.741935483871,51.780390016950356
44751,none,3,edge-3,48.22399999999999,11.47,4430.266759816488,2791.1396464987492,16584,534.9677419354839,143.89613982461486
44825,none,2,edge-2,47.928,2.138,3734.424277638,2788.3955186053963,8082,260.7096774193548,490.5740333203871
44872,none,7,edge-7,51.06,17.226,4826.6508403017,3130.431946503808,11257,363.1290322580645,143.37549247506846
44902,none,3,edge-3,50.58330882999999,8.80372345,4236.2743798529755,3053.081420367944,13484,434.96774193548384,205.33526874131925
44908,none,3,edge-3,50.58337354,8.80380392,4236.280195103593,3053.0885244980336,13485,435.0,205.34008205295626
44926,none,2,edge-2,51.21,7.656,4157.231482992513,3124.731055125621,16239,523.8387096774194,136.16447704522224
44934,none,0,edge-0,43.614,1.442,3630.1236407936285,2317.808813123792,16356,527.6129032258065,271.25266886003
45038,none,10,edge-10,49.45199435000001,26.927522419999995,5536.1438942104505,3067.448582209154,16270,524.8387096774194,150.59688971396665
45040,none,2,edge-2,53.574,7.77,4173.285774281509,3387.4220239298534,16534,533.3548387096774,252.28980748160973
45042,none,2,edge-2,52.09599999999999,4.41,3938.3452199855437,3235.3702429539694,9297,299.9032258064516,109.70485375718988
45050,none,1,edge-1,48.048,-1.9279999999999997,3435.6637956077625,2842.2032508001707,6948,224.1290322580645,438.33011806271634
45054,none,2,edge-2,50.79982277,7.29717761,4130.496730301277,3079.991985197291,26,0.8387096774193549,139.15136069098253
45058,none,7,edge-7,50.67680784,17.97251433,4883.27090552936,3093.447623982932,16557,534.0967741935484,126.59886716779907
45071,none,3,edge-3,48.906,9.14,4257.936283676255,2866.230230533004,38743,1249.774193548387,46.02120542931382
45078,none,9,edge-9,42.622,25.416,5579.679648130275,2298.037183189658,16528,533.1612903225806,114.38941682649684
45121,none,3,edge-3,50.12372625,8.647011540000001,4224.242435548301,3002.163417921734,16236,523.741935483871,163.56363594930713
45193,none,7,edge-7,50.3588479,20.1625042,5041.553474124201,3077.498095038925,15869,511.9032258064516,151.30104161358483
45217,none,1,edge-1,53.36547943,-1.8250715700000002,3537.781567701956,3425.99746531366,11728,378.3225806451613,154.42760512228332
45223,none,8,edge-8,48.18076211,15.25840849,4711.847670117814,2799.1689551402646,14972,482.96774193548384,302.84475916976396
45241,none,3,edge-3,48.308,11.664,4444.479093547939,2800.7798465455608,8288,267.35483870967744,152.6388180733704
45249,none,3,edge-3,48.48921795,9.21443671,4262.911322630825,2819.8399887586415,16583,534.9354838709677,56.33773393998312
